# prompt <TAB> check spec (quality_checks.py). SMOKE and REVIEW are NOT task correctness.
# Prompts demand a BARE answer so a strict contract can compare the whole reply. Presence checks are
# defeated by negation ("Paris is not the capital of France; London is"), so they are SMOKE only and a
# task that cannot be pinned to a bare answer is review=, for a human.
What is the capital of France? Reply with only the city name.	exact=Paris
What is 17 times 23? Reply with only the number.	numeric=391
List the first ten prime numbers. Reply with only the numbers separated by commas.	sequence=2,3,5,7,11,13,17,19,23,29
Name three countries in South America. Reply with only the three names separated by commas.	exactset=3:Brazil,Argentina,Peru,Chile,Colombia,Bolivia,Ecuador,Uruguay,Paraguay,Venezuela,Guyana,Suriname
What is the boiling point of water at sea level in Celsius? Reply with only the number.	numeric=100
Write a Python function called reverse_string that returns its argument reversed. Give only the code.	pyfunc=reverse_string|abc->cba|racecar->racecar|ab cd->dc ba|->|x->x
Write a haiku about rain.	review=three lines, roughly 5-7-5, about rain
Explain in two sentences why the sky is blue.	review=must ASSERT Rayleigh scattering of shorter wavelengths, not merely mention it
What is 144 divided by 12? Reply with only the number.	numeric=12
What is the chemical symbol for gold? Reply with only the symbol.	exact=Au
How many sides does a hexagon have? Reply with only the number.	numeric=6
List the first six Fibonacci numbers starting from 1. Reply with only the numbers separated by commas.	sequence=1,1,2,3,5,8
What is the capital of Japan? Reply with only the city name.	exact=Tokyo
Name the four cardinal directions. Reply with only the four words separated by commas.	exactset=4:North,South,East,West
What is 2 to the power of 10? Reply with only the number.	numeric=1024
How many days are in a leap year? Reply with only the number.	numeric=366
What is the largest planet in the solar system? Reply with only the planet name.	exact=Jupiter
List the squares of the first five positive integers. Reply with only the numbers separated by commas.	sequence=1,4,9,16,25
What is the freezing point of water in Fahrenheit? Reply with only the number.	numeric=32
What is 15 percent of 200? Reply with only the number.	numeric=30
What is the smallest prime number? Reply with only the number.	numeric=2
Write a Python function called count_vowels that returns how many of the letters a, e, i, o, u appear in its argument. Give only the code.	pyfunc=count_vowels|hello->2|xyz->0|aeiou->5|->0
Write a Python function called shout that returns its argument uppercased with an exclamation mark appended. Give only the code.	pyfunc=shout|hi->HI!|abc->ABC!|->!
Name the three states of matter taught in school. Reply with only the three words separated by commas.	exactset=3:Solid,Liquid,Gas
